userId,rId,rating,timestamp
0,0,4,
0,1,4,
0,2,4,
0,5,3,
0,6,5,
0,7,4,
0,8,5,
0,9,5,
0,19,4,
0,20,4,
0,21,5,
0,22,4,
0,23,3,
0,24,4,
0,25,5,
0,32,4,
0,33,4,
0,34,4,
0,35,5,
0,36,5,
1,10,4,
1,11,5,
1,12,3,
1,13,5,
1,18,5,
1,19,5,
1,20,4,
1,21,5,
1,22,4,
1,23,5,
1,31,5,
1,32,5,
1,33,5,
1,34,5,
1,35,4,
1,36,5,
2,0,5,
2,1,4,
2,2,2,
2,18,3,
2,19,3,
2,20,3,
2,21,3,
2,22,4,
2,23,4,
2,24,5,
2,25,4,
2,26,5,
2,27,3,
3,2,4,
3,3,5,
3,4,5,
3,5,4,
3,6,4,
3,7,5,
3,8,4,
3,9,5,
3,10,4,
3,11,5,
3,12,4,
3,13,5,
3,14,4,
3,21,4,
3,22,4,
3,23,5,
3,24,5,
3,25,5,
3,26,5,
3,27,5,
3,28,4,
3,29,5,
4,2,4,
4,3,5,
4,4,2,
4,5,5,
4,6,4,
4,13,4,
4,14,5,
4,15,3,
4,16,5,
4,17,5,
4,18,5,
4,19,5,
4,20,5,
4,23,4,
4,24,4,
4,25,5,
4,26,4,
4,27,4,
4,28,5,
5,0,5,
5,1,5,
5,2,4,
5,3,5,
5,4,5,
5,5,5,
5,6,5,
5,7,5,
5,22,3,
5,23,5,
5,24,5,
5,25,5,
5,26,4,
5,27,4,
5,28,5,
5,29,5,
5,31,4,
5,32,4,
5,36,4,
6,0,5,
6,1,5,
6,15,3.5,
6,16,4,
6,17,4,
6,18,4.5,
6,19,5,
6,20,4.5,
6,21,3,
6,22,4,
6,23,3,
6,24,4,
6,25,4.5,
6,26,5,
6,27,4,
6,34,4,
6,35,2,
6,36,3.5,
7,0,5,
7,1,5,
7,2,0.5,
7,3,0.5,
7,4,0.5,
7,5,0.5,
7,6,0.5,
7,16,4.5,
7,17,0.5,
7,18,0.5,
7,19,0.5,
7,20,2,
7,21,4,
7,22,0.5,
7,23,5,
7,27,0.5,
7,28,5,
7,29,0.5,
7,30,5,
7,31,5,
7,32,4.5,
7,33,5,
7,34,0.5,
7,35,5,
7,36,4.5,
8,2,5,
8,3,0.5,
8,4,3,
8,5,2,
8,6,3,
8,7,2,
8,8,3,
8,9,3,
8,10,4,
8,11,5,
8,12,1,
8,13,5,
8,23,5,
8,24,1,
8,25,5,
8,26,5,
8,27,4,
8,28,4,
8,29,3,
8,30,3,
8,31,4,
8,32,2,
8,33,1,
8,34,2,
8,35,5,
8,36,5,
9,0,5,
9,1,1,
9,2,5,
9,3,1,
9,4,2,
9,5,4,
9,6,5,
9,7,3,
9,8,2,
9,9,5,
9,10,3,
9,11,4,
9,20,5,
9,21,5,
9,22,5,
9,23,5,
9,24,5,
9,25,5,
9,26,3,
9,27,4,
9,28,5,
9,29,3,
9,30,2,
9,31,4,
9,32,5,
9,33,2,
9,34,5,
9,35,5,
9,36,5,
10,6,5,
10,7,5,
10,8,3,
10,9,2,
10,10,5,
10,11,1,
10,12,4,
10,13,4,
10,14,4,
10,15,5,
10,16,4,
10,17,4,
10,25,1,
10,26,5,
10,27,4,
10,28,4,
10,29,4,
10,30,3,
10,31,1,
10,32,2,
10,33,4,
10,34,1,
10,35,4,
10,36,4,
11,0,5,
11,1,3,
11,2,5,
11,11,3,
11,12,5,
11,13,2,
11,14,5,
11,15,4,
11,16,2,
11,17,4,
11,18,5,
11,19,4,
11,20,3,
11,21,5,
11,22,5,
11,23,5,
11,24,4,
11,35,1,
11,36,5,
12,0,5,
12,1,1,
12,2,4,
12,8,5,
12,9,5,
12,10,5,
12,11,4,
12,12,4,
12,13,5,
12,14,2,
12,15,2,
12,16,4,
12,20,3,
12,21,5,
12,22,4,
12,23,1,
12,24,4,
12,25,4,
12,26,4,
12,27,4,
12,28,3,
12,29,5,
13,2,5,
13,3,4,
13,4,3,
13,5,4,
13,6,4,
13,7,3,
13,8,1,
13,9,3,
13,10,4,
13,11,3,
13,19,2,
13,20,5,
13,21,4,
13,22,3,
13,26,4,
13,27,3,
13,28,1,
13,29,3,
13,30,5,
13,31,3,
13,32,4,
13,33,4,
14,5,4,
14,6,3,
14,7,3,
14,8,4,
14,9,5,
14,10,3,
14,19,3,
14,20,3,
14,21,2,
14,22,3,
14,23,4,
14,24,2,
14,25,3,
14,26,4,
14,27,4,
15,6,5,
15,7,3,
15,8,5,
15,9,4,
15,10,4,
15,11,3,
15,12,3,
15,13,4,
15,14,3,
15,15,4,
15,16,4,
15,30,4,
15,31,3,
15,32,4,
15,33,4,
15,34,1,
15,35,4,
15,36,4,
16,0,4,
16,1,4,
16,2,3,
16,3,3,
16,4,4,
16,5,3,
16,6,5,
16,7,3,
16,23,4,
16,24,4,
16,25,4,
16,26,4,
16,27,4,
16,28,3,
16,29,4,
16,30,3,
16,31,5,
16,32,3,
17,6,3,
17,7,3,
17,8,3,
17,9,2,
17,10,4,
17,11,3,
17,12,3,
17,24,4,
17,25,3,
17,26,4,
17,27,5,
17,28,3,
17,29,2,
17,30,4,
17,31,4,
17,32,3,
17,33,3,
17,34,3,
18,13,4,
18,14,3,
18,15,4,
18,16,4,
18,17,5,
18,18,3,
18,19,4,
18,20,3,
18,21,2,
18,22,3,
18,23,3,
18,24,4,
18,25,3,
19,7,5,
19,8,4,
19,9,4,
19,10,3,
19,11,3,
19,12,3,
19,13,3,
19,14,3,
19,28,3,
19,29,5,
19,30,3,
19,31,4,
19,32,5,
19,33,4,
19,34,3,
19,35,3,
19,36,5,
20,0,3,
20,1,4,
20,16,4,
20,18,4,
20,19,4,
20,20,3,
20,21,5,
20,22,3,
20,23,3,
20,24,2,
20,25,4,
20,26,4,
20,27,3,
20,28,4,
20,29,4,
20,30,4,
21,7,3,
21,8,4,
21,9,4,
21,10,3,
21,11,3,
21,12,3,
21,13,3,
21,33,4,
21,34,5,
21,35,3,
21,36,4,
22,0,3,
22,1,3,
22,2,4,
22,3,5,
22,4,3,
22,5,4,
22,6,4,
22,7,1,
22,8,4,
22,9,3,
22,10,3,
22,11,3,
22,12,3,
22,13,4,
22,14,3,
22,15,4,
22,16,5,
22,17,3,
22,18,4,
22,19,2,
22,20,5,
22,21,3,
22,22,1,
22,23,3,
22,24,3,
22,25,5,
22,26,5,
22,32,5,
22,33,4,
22,34,3,
22,35,4,
22,36,3,
23,0,3,
23,1,4,
23,2,4,
23,14,4,
23,15,4,
23,16,3,
23,17,5,
23,18,4,
23,19,4,
23,20,3,
23,21,4,
24,3,4,
24,4,4.5,
24,5,3,
24,6,4,
24,7,4,
24,8,1.5,
24,9,4,
24,10,4,
24,17,3.5,
24,18,5,
24,19,4,
24,20,3,
24,21,3,
24,22,0.5,
24,23,4,
24,35,1.5,
24,36,3.5,
25,0,4.5,
25,5,1.5,
25,6,1,
25,7,3.5,
25,8,5,
25,9,4,
25,10,2.5,
25,11,3,
25,12,4,
25,13,2,
25,14,2,
25,15,4,
25,16,0.5,
25,25,4.5,
25,26,4.5,
25,27,3.5,
25,28,3.5,
25,29,0.5,
25,30,4,
25,31,3,
25,32,3,
25,33,1.5,
25,34,5,
26,5,4.5,
26,6,4.5,
26,7,2,
26,8,4.5,
26,9,4,
26,10,3,
26,11,4,
26,12,4.5,
26,13,3.5,
26,14,2.5,
26,15,2,
26,16,4.5,
26,17,4.5,
26,18,3.5,
26,30,4,
26,31,1,
26,32,2.5,
26,33,2.5,
26,34,4,
26,35,3,
26,36,3.5,
27,0,2,
27,1,3.5,
27,2,2,
27,3,1.5,
27,4,2,
27,5,3.5,
27,6,3.5,
27,14,4.5,
27,15,4,
27,16,4.5,
27,17,1,
27,18,0.5,
27,19,1,
27,20,1,
27,21,4.5,
27,22,2.5,
27,23,4.5,
27,24,3.5,
28,1,4,
28,2,2,
28,3,5,
28,4,4,
28,5,3,
